case,left,right,operand_support_union,product_support_delta,sum_support,addition_support_symmetric_difference,addition_trial_remainders,addition_factor_divisions
0,194,61,3,0,3,6,100,3
1,146,238,4,0,2,4,105,8
2,234,248,4,0,2,4,99,2
3,221,219,4,0,3,7,102,5
4,97,110,4,0,2,6,100,3
5,21,44,4,0,2,6,99,2
6,252,238,4,0,3,3,101,4
7,104,84,4,0,2,4,100,3
8,238,193,4,0,1,5,98,1
9,49,62,3,0,2,5,99,2
10,71,123,3,0,2,5,99,2
11,35,6,4,0,1,5,98,1
12,196,164,3,0,3,4,103,6
13,186,221,5,0,2,7,99,2
14,244,156,4,0,2,4,103,6
15,89,115,3,0,3,6,101,4
16,8,194,2,0,2,2,99,2
17,13,241,2,0,2,4,99,2
18,105,153,4,0,3,5,100,3
19,12,1,2,0,1,3,98,1
20,247,199,3,0,2,5,99,2
21,179,91,3,0,3,6,102,5
22,210,155,5,0,2,5,99,2
23,19,146,3,0,3,6,100,3
24,105,187,5,0,2,7,100,3
25,11,90,4,0,1,5,98,1
26,71,130,4,0,2,6,99,2
27,46,72,3,0,2,3,99,2
28,27,140,4,0,1,5,98,1
29,42,70,4,0,2,2,102,5
30,62,256,2,0,3,3,100,3
31,232,197,3,0,3,6,100,3
32,21,163,3,0,2,5,101,4
33,36,59,3,0,2,5,99,2
34,226,120,4,0,2,4,99,2
35,235,86,4,0,2,6,99,2
36,181,49,2,0,3,5,100,3
37,72,129,3,0,2,3,99,2
38,200,200,2,0,2,0,103,6
39,52,42,4,0,2,4,99,2
40,146,40,3,0,3,4,100,3
41,117,58,4,0,2,6,100,3
42,146,255,5,0,1,6,98,1
43,45,135,2,0,3,1,102,5
44,148,197,3,0,3,6,100,3
45,214,222,4,0,2,4,100,3
46,111,199,3,0,3,6,100,3
47,195,247,4,0,3,5,100,3
48,224,239,3,0,1,4,98,1
49,70,48,4,0,2,4,99,2
50,119,216,4,0,2,6,99,2
51,177,242,4,0,1,5,98,1
52,208,182,3,0,4,3,101,4
53,166,22,3,0,2,3,100,3
54,58,174,3,0,2,1,101,4
55,128,83,2,0,1,3,98,1
56,88,1,2,0,1,3,98,1
57,181,23,2,0,3,5,101,4
58,140,174,5,0,2,5,99,2
59,51,22,4,0,1,5,98,1
60,118,158,3,0,3,4,101,4
61,168,29,4,0,1,5,98,1
62,162,14,3,0,2,3,102,5
63,231,239,4,0,3,7,100,3
64,111,82,4,0,1,5,98,1
65,162,218,3,0,3,4,101,4
66,130,4,3,0,2,3,99,2
67,179,186,4,0,2,6,99,2
68,120,131,4,0,1,5,98,1
69,107,221,3,0,2,5,101,4
70,90,23,4,0,1,5,98,1
71,77,230,5,0,1,6,98,1
72,70,132,5,0,2,5,99,2
73,134,111,4,0,2,6,100,3
74,18,173,3,0,1,4,98,1
75,107,50,3,0,1,4,98,1
76,188,49,3,0,2,5,99,2
77,186,218,4,0,2,4,100,3
78,49,148,3,0,1,4,98,1
79,81,194,3,0,2,5,100,3
80,207,183,3,0,4,5,101,4
81,168,233,4,0,1,5,98,1
82,13,166,3,0,1,4,98,1
83,210,84,4,0,3,1,101,4
84,79,252,4,0,1,5,98,1
85,159,10,4,0,1,5,99,2
86,67,87,3,0,3,6,100,3
87,189,96,3,0,3,4,100,3
88,81,194,3,0,2,5,100,3
89,215,31,3,0,3,6,100,3
90,137,121,2,0,3,5,100,3
91,221,195,4,0,2,4,103,6
92,231,112,4,0,1,3,100,3
93,31,82,3,0,1,4,98,1
94,74,217,4,0,2,6,99,2
95,138,228,4,0,3,3,100,3
96,51,170,4,0,2,4,99,2
97,14,163,3,0,2,5,99,2
98,112,100,3,0,2,3,100,3
99,218,160,3,0,3,4,102,5
100,178,50,3,0,3,4,101,4
101,32,23,2,0,2,4,99,2
102,14,98,2,0,2,0,102,5
103,240,101,4,0,2,6,99,2
104,116,91,4,0,2,6,100,3
105,137,111,3,0,2,5,101,4
106,190,51,5,0,1,6,98,1
107,58,87,3,0,2,3,99,2
108,219,229,3,0,2,5,104,7
109,3,158,3,0,2,5,99,2
110,136,128,2,0,3,3,102,5
111,10,118,3,0,1,2,104,7
112,115,188,4,0,2,6,99,2
113,216,154,4,0,3,5,100,3
114,73,26,3,0,2,5,100,3
115,240,238,5,0,2,5,99,2
116,233,55,3,0,2,5,104,7
117,109,87,3,0,2,5,101,4
118,89,199,2,0,2,4,104,7
119,181,133,3,0,2,5,99,2
120,129,186,4,0,3,5,101,4
121,222,240,4,0,4,4,101,4
122,81,27,1,0,2,1,102,5
123,39,256,3,0,2,5,99,2
124,112,184,3,0,2,3,101,4
125,201,139,3,0,3,6,101,4
126,97,60,4,0,1,5,98,1
127,25,51,3,0,2,5,100,3
128,40,171,4,0,1,5,98,1
129,165,82,5,0,2,7,99,2
130,139,86,3,0,2,5,101,4
131,28,91,3,0,2,3,99,2
132,108,156,3,0,3,2,102,5
133,135,135,2,0,3,1,102,5
134,198,228,4,0,3,3,100,3
135,254,20,3,0,2,3,99,2
136,48,127,3,0,2,5,100,3
137,30,206,4,0,2,4,100,3
138,162,27,2,0,2,2,101,4
139,38,88,3,0,3,4,101,4
140,150,216,3,0,3,2,100,3
141,43,146,3,0,2,5,101,4
142,81,101,2,0,3,5,100,3
143,141,173,3,0,2,5,99,2
144,31,59,2,0,3,5,101,4
145,47,175,3,0,3,6,100,3
146,35,100,3,0,2,3,101,4
147,251,43,2,0,3,5,101,4
148,158,131,3,0,1,4,99,2
149,133,181,3,0,2,5,99,2
150,148,161,4,0,2,6,99,2
151,58,141,4,0,1,5,98,1
152,186,182,5,0,2,5,102,5
153,91,227,3,0,3,6,100,3
154,31,76,3,0,1,4,98,1
155,145,14,4,0,2,6,99,2
156,134,77,4,0,1,5,98,1
157,189,179,3,0,2,5,102,5
158,44,138,4,0,3,5,100,3
159,11,7,2,0,2,4,100,3
160,15,218,4,0,1,5,98,1
161,104,140,4,0,2,4,100,3
162,181,80,3,0,2,5,100,3
163,242,205,4,0,2,6,99,2
164,132,243,3,0,2,3,101,4
165,48,31,3,0,1,4,98,1
166,151,113,2,0,3,5,102,5
167,197,245,3,0,3,6,100,3
168,158,158,2,0,2,0,100,3
169,217,156,5,0,1,6,98,1
170,11,170,4,0,1,5,98,1
171,143,211,3,0,3,6,100,3
172,170,34,3,0,3,2,101,4
173,41,215,3,0,1,4,105,8
174,167,72,3,0,1,4,98,1
175,256,20,2,0,3,3,101,4
176,121,127,2,0,2,4,101,4
177,167,186,4,0,1,5,98,1
178,57,175,4,0,2,6,101,4
179,216,106,3,0,3,4,100,3
180,197,142,3,0,2,5,99,2
181,95,45,3,0,3,4,101,4
182,28,114,4,0,2,4,99,2
183,119,22,4,0,2,6,99,2
184,136,200,3,0,3,4,103,6
185,22,142,3,0,2,3,100,3
186,178,112,3,0,3,4,100,3
187,253,101,3,0,3,6,100,3
188,76,150,4,0,2,4,99,2
189,226,148,3,0,3,4,100,3
190,40,27,3,0,1,4,98,1
191,39,61,3,0,2,5,101,4
192,243,28,3,0,1,4,98,1
193,167,25,2,0,2,4,104,7
194,203,11,3,0,2,5,99,2
195,189,240,4,0,3,5,100,3
196,198,112,4,0,3,5,100,3
197,216,125,3,0,2,5,99,2
198,76,98,3,0,3,4,100,3
199,183,57,3,0,3,4,103,6
200,171,20,4,0,1,5,98,1
201,79,223,2,0,2,4,99,2
202,51,114,4,0,3,5,100,3
203,99,10,4,0,1,5,98,1
204,130,66,5,0,2,5,101,4
205,111,164,4,0,2,6,100,3
206,205,69,4,0,2,6,99,2
207,67,170,4,0,2,6,99,2
208,104,35,4,0,1,5,98,1
209,58,1,2,0,1,3,98,1
210,204,95,5,0,2,7,99,2
211,75,126,4,0,2,4,99,2
212,12,38,3,0,2,3,100,3
213,200,66,4,0,3,5,100,3
214,153,128,3,0,1,4,98,1
215,26,234,3,0,3,2,101,4
216,223,170,4,0,2,6,99,2
217,233,20,3,0,2,5,99,2
218,205,73,3,0,2,5,99,2
219,10,129,4,0,1,5,98,1
220,185,158,4,0,1,5,100,3
221,151,138,4,0,1,5,99,2
222,157,25,2,0,3,5,100,3
223,36,130,4,0,2,4,99,2
224,46,46,2,0,2,0,100,3
225,21,41,3,0,2,5,99,2
226,41,183,3,0,2,5,103,6
227,110,76,4,0,3,5,100,3
228,201,209,4,0,3,7,100,3
229,212,13,3,0,2,5,101,4
230,170,33,5,0,2,7,99,2
231,113,3,2,0,2,4,100,3
232,40,133,4,0,1,5,98,1
233,198,35,5,0,1,6,98,1
234,92,47,3,0,1,4,98,1
235,221,32,3,0,2,5,99,2
236,25,185,2,0,4,4,101,4
237,72,47,3,0,2,5,99,2
238,201,194,4,0,2,6,99,2
239,226,243,3,0,2,5,99,2
240,3,71,2,0,2,4,99,2
241,21,107,3,0,1,4,104,7
242,108,242,3,0,3,4,101,4
243,194,40,3,0,3,4,101,4
244,61,157,2,0,2,4,99,2
245,75,252,4,0,2,4,99,2
246,118,254,3,0,3,4,101,4
247,215,153,4,0,2,6,102,5
248,45,149,3,0,2,5,99,2
249,98,25,3,0,2,5,99,2
250,84,1,3,0,2,5,99,2
251,38,255,5,0,1,6,98,1
252,82,246,3,0,2,1,101,4
253,16,112,2,0,1,1,104,7
254,112,63,3,0,2,3,100,3
255,132,8,3,0,3,4,101,4
