magnitude,class,binary_bits,encode_status,failure,basis_residual,dense_payload_bits,sparse_payload_bits,nonzero_lanes,trial_remainders,factor_divisions
1,unit,1,success,None,1,200,5,0,25,0
2,prime-in-basis,2,success,None,1,200,18,1,26,1
4,prime-power,3,success,None,1,200,18,1,27,2
12,smooth,4,success,None,1,200,31,2,28,3
30,square-free-smooth,5,success,None,1,200,44,3,28,3
64,prime-power,7,success,None,1,200,18,1,31,6
97,largest-basis-prime,7,success,None,1,200,18,1,26,1
101,prime-basis-escape,7,failure,BasisEscape,101,200,,,25,0
210,smooth,8,success,None,1,200,57,4,29,4
2310,primorial,12,success,None,1,200,70,5,30,5
30030,primorial,15,success,None,1,200,83,6,31,6
99991,large-prime,17,failure,BasisEscape,99991,200,,,25,0
104729,10000th-prime,17,failure,BasisEscape,104729,200,,,25,0
