case,left_bits,right_bits,binary_width,binary_payload_bits_two_operands,prime_payload_bits_two_operands,binary_multiplier_nands,binary_multiplier_depth,prime_compose_nands,prime_compose_depth,result_equal
0,51,49,51,102,128,83232,713,981,41,True
1,45,25,45,90,128,64800,629,981,41,True
2,28,47,47,94,128,70688,657,981,41,True
3,32,39,39,78,128,48672,545,981,41,True
4,38,39,39,78,128,48672,545,981,41,True
5,34,34,34,68,128,36992,475,981,41,True
6,35,38,38,76,128,46208,531,981,41,True
7,37,25,37,74,128,43808,517,981,41,True
8,35,42,42,84,128,56448,587,981,41,True
9,35,45,45,90,128,64800,629,981,41,True
10,33,45,45,90,128,64800,629,981,41,True
11,29,31,31,62,128,30752,433,981,41,True
12,15,35,35,70,128,39200,489,981,41,True
13,23,51,51,102,128,83232,713,981,41,True
14,25,34,34,68,128,36992,475,981,41,True
15,19,32,32,64,128,32768,447,981,41,True
16,24,26,26,52,128,21632,363,981,41,True
17,49,55,55,110,128,96800,769,981,41,True
18,34,51,51,102,128,83232,713,981,41,True
19,45,36,45,90,128,64800,629,981,41,True
20,39,37,39,78,128,48672,545,981,41,True
21,43,28,43,86,128,59168,601,981,41,True
22,42,49,49,98,128,76832,685,981,41,True
23,57,23,57,114,128,103968,797,981,41,True
24,31,29,31,62,128,30752,433,981,41,True
25,39,52,52,104,128,86528,727,981,41,True
26,36,51,51,102,128,83232,713,981,41,True
27,44,46,46,92,128,67712,643,981,41,True
28,32,34,34,68,128,36992,475,981,41,True
29,32,37,37,74,128,43808,517,981,41,True
30,50,32,50,100,128,80000,699,981,41,True
31,33,45,45,90,128,64800,629,981,41,True
32,50,33,50,100,128,80000,699,981,41,True
33,40,31,40,80,128,51200,559,981,41,True
34,48,44,48,96,128,73728,671,981,41,True
35,35,21,35,70,128,39200,489,981,41,True
36,48,28,48,96,128,73728,671,981,41,True
37,28,29,29,58,128,26912,405,981,41,True
38,26,37,37,74,128,43808,517,981,41,True
39,31,29,31,62,128,30752,433,981,41,True
40,43,38,43,86,128,59168,601,981,41,True
41,38,43,43,86,128,59168,601,981,41,True
42,39,19,39,78,128,48672,545,981,41,True
43,17,49,49,98,128,76832,685,981,41,True
44,52,36,52,104,128,86528,727,981,41,True
45,27,19,27,54,128,23328,377,981,41,True
46,35,33,35,70,128,39200,489,981,41,True
47,8,51,51,102,128,83232,713,981,41,True
48,38,39,39,78,128,48672,545,981,41,True
49,45,35,45,90,128,64800,629,981,41,True
50,18,40,40,80,128,51200,559,981,41,True
51,49,38,49,98,128,76832,685,981,41,True
52,38,46,46,92,128,67712,643,981,41,True
53,31,36,36,72,128,41472,503,981,41,True
54,43,33,43,86,128,59168,601,981,41,True
55,48,29,48,96,128,73728,671,981,41,True
56,53,41,53,106,128,89888,741,981,41,True
57,51,42,51,102,128,83232,713,981,41,True
58,30,40,40,80,128,51200,559,981,41,True
59,36,46,46,92,128,67712,643,981,41,True
60,35,25,35,70,128,39200,489,981,41,True
61,50,24,50,100,128,80000,699,981,41,True
62,39,19,39,78,128,48672,545,981,41,True
63,46,43,46,92,128,67712,643,981,41,True
