bank_size,reuse_q,binary_work_proxy_nands,hybrid_work_proxy_nands,binary_payload_bits,hybrid_payload_bits,hybrid_work_lower,payload_within_2x,claim_ceiling
4,1,10368,1001,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,2,20736,2002,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,4,41472,4004,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,8,82944,8008,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,16,165888,16016,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,32,331776,32032,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,64,663552,64064,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,128,1327104,128128,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,256,2654208,256256,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,1024,10616832,1025024,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
4,4096,42467328,4100096,36,174,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,1,10368,1973,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,2,20736,3946,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,4,41472,7892,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,8,82944,15784,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,16,165888,31568,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,32,331776,63136,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,64,663552,126272,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,128,1327104,252544,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,256,2654208,505088,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,1024,10616832,2020352,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
8,4096,42467328,8081408,36,342,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,1,10368,3917,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,2,20736,7834,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,4,41472,15668,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,8,82944,31336,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,16,165888,62672,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,32,331776,125344,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,64,663552,250688,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,128,1327104,501376,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,256,2654208,1002752,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,1024,10616832,4011008,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
16,4096,42467328,16044032,36,678,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,1,10368,7805,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,2,20736,15610,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,4,41472,31220,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,8,82944,62440,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,16,165888,124880,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,32,331776,249760,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,64,663552,499520,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,128,1327104,999040,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,256,2654208,1998080,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,1024,10616832,7992320,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
32,4096,42467328,31969280,36,1350,True,False,Proxy combines exact bank NANDs and declared schoolbook cofactor NANDs; it is not host timing
