family,workload,implementation,policy,bank_size,events,operations,status,failures,partial_outputs,ingress_remainders,ingress_divisions,native_bank_nands,modeled_binary_nands,cofactor_adds,cofactor_multiplies,cofactor_divides,cofactor_remainders,cofactor_gcds,maintenance_remainders,maintenance_divisions,migrations,egress_reconstruction_multiplies,lane_reads,lane_writes,average_payload_bits,catalog_bits_unamortized,output_obligation,interpretation
M,M010_PILOT,BIN_EXACT,NONE,0,128,256,BOUNDED_PASS,0,0,0,0,0,7235616,0,128,128,0,0,0,0,0,0,0,0,34,0,magnitude-final after exact cancellation,"Optimized BigInteger is the executable baseline; NAND count is a transparent schoolbook/add proxy, not its implementation"
M,M010_PILOT,SPARSE_FULL,FULL_TRIAL_FACTOR_CONTROL,0,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Pilot has no independently executable full-factor-map operation/output replay; oracle arithmetic is not charged as a comparator
M,M010_PILOT,B000_DENSE,FIRST_K,4,128,0,EXPECTED_BASIS_ESCAPE,128,0,2568,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_DENSE,SELECTED_K,4,128,0,EXPECTED_BASIS_ESCAPE,128,0,2568,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_SPARSE,FIRST_K,4,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_SPARSE,SELECTED_K,4,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_DENSE,FIRST_K,8,128,256,BOUNDED_PASS,0,0,5073,3025,562432,0,0,0,0,0,0,0,0,0,0,0,0,128,28,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_DENSE,SELECTED_K,8,128,256,BOUNDED_PASS,0,0,5073,3025,562432,0,0,0,0,0,0,0,0,0,0,0,0,128,28,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_SPARSE,FIRST_K,8,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_SPARSE,SELECTED_K,8,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_DENSE,FIRST_K,16,128,256,BOUNDED_PASS,0,0,7121,3025,1125632,0,0,0,0,0,0,0,0,0,0,0,0,256,73,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_DENSE,SELECTED_K,16,128,256,BOUNDED_PASS,0,0,7121,3025,1125632,0,0,0,0,0,0,0,0,0,0,0,0,256,73,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_SPARSE,FIRST_K,16,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_SPARSE,SELECTED_K,16,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_DENSE,FIRST_K,32,128,256,BOUNDED_PASS,0,0,11217,3025,2252032,0,0,0,0,0,0,0,0,0,0,0,0,512,184,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_DENSE,SELECTED_K,32,128,256,BOUNDED_PASS,0,0,11217,3025,2252032,0,0,0,0,0,0,0,0,0,0,0,0,512,184,magnitude-final after exact cancellation,Historical Build 000 control; basis escapes remain visible and are not imputed
M,M010_PILOT,B000_SPARSE,FIRST_K,32,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,B000_SPARSE,SELECTED_K,32,128,0,NOT_SUPPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magnitude-final after exact cancellation,Build 000 sparse type has compose accounting but no exact sparse cancellation replay; dense gate costs are not relabeled as sparse
M,M010_PILOT,HYBRID_EAGER,NONE,0,128,256,BOUNDED_PASS,0,0,0,0,0,7235616,0,128,128,128,0,0,0,0,0,0,0,36,0,magnitude-final after exact cancellation,Phase-separated exact hybrid receipt
M,M010_PILOT,HYBRID_EAGER,FIRST_K,4,128,256,BOUNDED_PASS,0,0,2568,1544,280832,3504096,0,128,128,128,0,0,0,0,1168,2560,2048,108,10,magnitude-final after exact cancellation,Phase-separated exact hybrid receipt
M,M010_PILOT,HYBRID_EAGER,SELECTED_K,4,128,256,BOUNDED_PASS,0,0,2568,1544,280832,3504096,0,128,128,128,0,0,0,0,1168,2560,2048,108,10,magnitude-final after exact cancellation,Phase-separated exact hybrid receipt
M,M010_PILOT,HYBRID_EAGER,ADAPTIVE_LRU_K_NO_ELIGIBLE_MAG_REFERENCE,4,128,256,BOUNDED_PASS,0,0,2568,1544,280832,3504096,0,128,128,128,0,0,0,0,1168,2560,2048,108,10,magnitude-final after exact cancellation,MAG ingress exposes no unbanked factor identity; registered LRU cannot adapt in this cell
M,M010_PILOT,HYBRID_EAGER,FIRST_K,8,128,256,BOUNDED_PASS,0,0,5073,3025,562432,4096,0,128,128,128,0,0,0,0,2291,5120,4096,171,28,magnitude-final after exact cancellation,Phase-separated exact hybrid receipt
