protocol_id,implementation,width,module,operation,architecture,evidence_class,support_status,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,max_fanout,cross_region_connections,cross_lane_connections,unit_nand_critical_depth,combinational_loop_status,notes
PAH-BUILD002-CONF0001,BIN-FU,4,BIN.ADD.W4,ADD,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,60,0,0,9,5,14,69,125,3,41,0,19,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-FU,4,BIN.SUB.W4,SUBTRACT,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,76,0,0,8,5,13,85,157,5,61,0,24,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-FU,4,BIN.COMPARE.W4,COMPARE,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,92,0,0,8,3,11,103,187,5,71,0,14,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-FU,4,BIN.MULTIPLY_SHIFT_ADD.W4,MULTIPLY,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,512,0,0,8,8,16,521,1032,84,328,0,55,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-FU,4,BIN.FU.COMBINATIONAL.W4,FUNCTIONAL_UNIT,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,836,0,0,10,8,18,850,1680,103,592,0,58,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-FU-INTEGRATED,4,BIN.FU.REGISTERED.W4,REGISTERED_FUNCTIONAL_UNIT,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,836,18,18,10,8,18,868,1698,103,610,0,58,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-DIV,4,BIN.DIVIDE_RESTORING.W4,UNSIGNED_RESTORING_DIVIDE,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,497,0,0,8,10,18,506,1004,60,436,0,134,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-GCD,4,BIN.GCD_SUBTRACTIVE.W4,SUBTRACTIVE_GCD_STEP,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,430,10,10,9,14,23,454,884,30,430,0,29,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-SCALE-CANCEL-WARM,4,BIN.WARM_SCALE_CANCEL.W4,INTEGRATED_SCALE_CANCEL,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,1107,4,4,3,10,13,1116,2228,158,851,0,140,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
PAH-BUILD002-CONF0001,BIN-MIXED-WARM,4,BIN.MAGNITUDE.DATAPATH.W4,INTEGRATED_LOAD_SCALE_CANCEL_ADD,BINARY_POSITIONAL,STRUCTURAL_DECLARED,IMPLEMENTED,1262,4,4,9,9,18,1277,2537,155,968,0,146,ACYCLIC,"Explicit NAND graph; DFFs, where present, are separately charged boundary cells."
