protocol_id,platform,tool_version,top,width,implementation,architecture,evidence_class,status,support_status,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,max_fanout,cross_lane_connections,unit_nand_critical_depth,combinational_loop_status,netlist_sha256,warning_count,notes
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_add_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,55,0,0,8,5,13,63,115,11,0,15,ACYCLIC,2af865ba02626938c902814c7789e0a6867822ed1b5e405f516862695e126904,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_add_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,42,0,0,8,5,13,53,89,4,0,12,ACYCLIC,a209b829179d4f2a16eac61346a16997b2a739b4a0aa81b9b89233ea430e973c,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_compare_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,82,0,0,8,2,10,90,166,11,0,15,ACYCLIC,6973ab103ad148f8e8ec5fe258247441a3818b7a6c7436feeaf533d2326ddcdf,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_compare_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,36,0,0,8,2,10,51,74,3,0,10,ACYCLIC,39b1c5346d1ad83b5fdfb9bf26c293e47b2c5f24235db39638540db8ea923e2a,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_counter_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,36,4,4,3,5,8,43,93,8,0,12,ACYCLIC,bc333fa6dfe4b73497cadcd3a936838d62abf1001ad612ad7c65ed808ad59e03,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_counter_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,37,4,4,3,5,8,46,87,5,0,8,ACYCLIC,8be39dcde5ee75b828287ecb70e5c24cf9ca9c41885a36c6cef1d35b3cc48c06,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_fu_registered_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,617,22,22,14,12,26,653,1334,81,0,44,ACYCLIC,8b47cf108e2653dd98c4a6c7d99ef54f2f6ac8eba4706c6fdd9802191e10c9be,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_fu_registered_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,358,22,22,14,12,26,508,772,22,0,35,ACYCLIC,b1cfd678c9fa50d7747f43b459ad45627a48e0bb996f3c998099a16998a3fdcc,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_fu_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,617,0,0,10,12,22,627,1246,81,0,44,ACYCLIC,542da6f0474e13524fa89cafd9f7cfe5fa9c81a2c90460e5d579d46730927afc,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_fu_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,234,0,0,10,12,22,359,480,10,0,32,ACYCLIC,4950e4f196f307da799d28acf820937d83f13cfb5074ca731bfed5d9fe6fa401,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_mul_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,320,0,0,8,8,16,328,648,56,0,40,ACYCLIC,6614c000bec5208d4875b5da9e0c17358da3d91a7e05d301587470fb26c8098d,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_mul_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,127,0,0,8,8,16,203,262,5,0,31,ACYCLIC,683e171ada0941e5db6951993cc132c44fa83cc9b29b121ae389ee813fdd387f,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_sub_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,55,0,0,8,5,13,63,115,11,0,17,ACYCLIC,47328f958d2a958f851f37ca9e93352b69ce1998663f6242b5b700f6a12b5fb8,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_sub_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,42,0,0,8,5,13,54,89,4,0,12,ACYCLIC,77d41438e07b9b8e819b230ba6bbf17ca57f315d5fdb2916e0e6c09394086a83,1,Warning count was parsed from the corresponding synthesis log.
