ledger,domain,case_id,metric,value,unit,software_meaning,hardware_implication
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,prime_basis_candidates,4999,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,prime_basis_composite_marks,8087,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
ABSTRACT_STRUCTURE,COMBINATORICS,PRIME_BASIS_0_5000,prime_basis_primes,669,primes,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,factorial_cache_hits,0,lookups,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,factorial_cache_misses,0,lookups,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,factorial_valuation_calls,0,calls,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,legendre_quotient_steps,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,coordinate_reads,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,coordinate_writes,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,coordinate_additions,0,operations,Nonzero existing-coordinate exponent merges; not every CLR integer addition.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,coordinate_zero_eliminations,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,big_integer_powers,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,big_integer_multiplications,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,big_integer_exact_divisions,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,exact_rational_additions,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,greatest_common_divisors,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,reconstructions,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
ABSTRACT_STRUCTURE,COMBINATORICS,PRIME_BASIS_0_5000,additive_nodes,0,nodes,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
ABSTRACT_STRUCTURE,COMBINATORICS,PRIME_BASIS_0_5000,additive_terms,0,terms,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,PRIME_BASIS_0_5000,exact_rational_reductions,0,operations,Nontrivial residual cancellations after exact rational addition; GCD and exact-division counts are separate.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,HYPER_POINT_5000_1200_900_225,prime_basis_candidates,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
HOST_SOFTWARE_DIAGNOSTIC,COMBINATORICS,HYPER_POINT_5000_1200_900_225,prime_basis_composite_marks,0,operations,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
ABSTRACT_STRUCTURE,COMBINATORICS,HYPER_POINT_5000_1200_900_225,prime_basis_primes,0,primes,Deterministic operation counter for this implementation.,HARDWARE_NOT_MEASURED
