width,family,trace_id,candidate,baseline,cache_capacity,speculation_budget,stable_cycle_prefix,stable_service_nand_prefix,final_cycle_delta,final_service_nand_delta,final_no_worse_both,strictly_better_at_least_one,eligible_for_frozen_decision,attribution
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,1,0,3,3,-835,-587856,true,true,false,GENERIC_MEMOIZATION
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,1,0,2,2,-850,-599542,true,true,false,GENERIC_CHECKPOINT
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,1,0,2,2,-850,-599542,true,true,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,1,0,2,2,-15,-11686,true,true,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,1,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,1,1,-1,-1,13,9638,false,false,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,1,4,-1,-1,88,64552,false,false,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,2,0,3,3,-835,-571022,true,true,false,GENERIC_MEMOIZATION
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,2,0,2,2,-850,-581379,true,true,false,GENERIC_CHECKPOINT
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,2,0,2,2,-850,-581379,true,true,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,2,0,2,2,-15,-10357,true,true,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,2,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,2,1,-1,-1,13,11410,false,false,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,2,4,-1,-1,88,71640,false,false,false,GENERIC_OR_UNATTRIBUTED
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,4,0,3,3,-835,-536556,true,true,false,GENERIC_MEMOIZATION
8,STATIC_REUSE,unchanged-positive-and-negative-hits,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,4,0,2,2,-850,-544192,true,true,false,GENERIC_CHECKPOINT
