width,cache_capacity,component,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,maximum_fanout,unit_nand_critical_depth,cross_region_connections,cache_line_bits,combinational_loop_status,evidence_class,integrated_netlist
8,0,PRIME_CATALOGUE,693,0,0,4,11,15,841,1397,29,35,634,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,0,CTZ,504,0,0,8,5,13,514,1013,108,64,317,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,0,ODD_DIVMOD,650,40,40,17,20,37,718,1360,120,62,726,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,0,FRONTIER_CACHE_K0,0,0,0,49,20,69,51,20,19,0,20,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,1,PRIME_CATALOGUE,693,0,0,4,11,15,841,1397,29,35,634,29,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,1,CTZ,504,0,0,8,5,13,514,1013,108,64,317,29,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,1,ODD_DIVMOD,650,40,40,17,20,37,718,1360,120,62,726,29,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,1,FRONTIER_CACHE_K1,438,29,29,49,20,69,527,925,90,29,466,29,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,2,PRIME_CATALOGUE,693,0,0,4,11,15,841,1397,29,35,634,58,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,2,CTZ,504,0,0,8,5,13,514,1013,108,64,317,58,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,2,ODD_DIVMOD,650,40,40,17,20,37,718,1360,120,62,726,58,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,2,FRONTIER_CACHE_K2,881,58,58,49,20,69,1008,1840,89,31,903,58,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,4,PRIME_CATALOGUE,693,0,0,4,11,15,841,1397,29,35,634,116,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,4,CTZ,504,0,0,8,5,13,514,1013,108,64,317,116,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,4,ODD_DIVMOD,650,40,40,17,20,37,718,1360,120,62,726,116,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
8,4,FRONTIER_CACHE_K4,1788,116,116,49,20,69,1991,3712,132,38,1803,116,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,0,PRIME_CATALOGUE,1045,0,0,4,19,23,1281,2109,53,35,1002,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,0,CTZ,1248,0,0,16,6,22,1266,2502,255,116,774,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,0,ODD_DIVMOD,1140,73,73,33,36,69,1259,2389,219,110,1300,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,0,FRONTIER_CACHE_K0,0,0,0,58,29,87,60,29,28,0,29,0,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,1,PRIME_CATALOGUE,1045,0,0,4,19,23,1281,2109,53,35,1002,38,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,1,CTZ,1248,0,0,16,6,22,1266,2502,255,116,774,38,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,1,ODD_DIVMOD,1140,73,73,33,36,69,1259,2389,219,110,1300,38,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,1,FRONTIER_CACHE_K1,546,38,38,58,29,87,653,1159,117,29,601,38,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,2,PRIME_CATALOGUE,1045,0,0,4,19,23,1281,2109,53,35,1002,76,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,2,CTZ,1248,0,0,16,6,22,1266,2502,255,116,774,76,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,2,ODD_DIVMOD,1140,73,73,33,36,69,1259,2389,219,110,1300,76,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,2,FRONTIER_CACHE_K2,1097,76,76,58,29,87,1251,2299,116,31,1155,76,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,4,PRIME_CATALOGUE,1045,0,0,4,19,23,1281,2109,53,35,1002,152,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
16,4,CTZ,1248,0,0,16,6,22,1266,2502,255,116,774,152,Acyclic,STRUCTURAL_DECLARED_COMPOSITIONAL,false
